flat_id	rooms	studio	total_area	living_area	kitchen_area	refit	prepayment	view_from_windows	balconies	floor	floors	deposit	utility_bills	ceiling_height	gaz	garbage_chute	building_year	walls	ceiling_type	rent	можно с детьми	микроволновая печь	интернет	парк	закрытая территория	кондиционер	стиральная машина	холодильник	посудомоечная машина	мебель в комнатах	можно с животными	плита	мебель на кухне	телевизор	фитнес
2062108756	0	1	25.0			euro	1	yard	1	8	24				0	0	2021	mono	ferroc	28000	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2061687312	0	1	27.0			euro				6	9	50000	no		0	0	2014	mono	ferroc	50000	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061734877	0	1	27.0	18.0	6.0	euro			1	2	4	65000	no		0	0	2020	mono	ferroc	60000	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061515161	1	0	39.1	19.4	12.7	design			1	8	14	39998	no	2.8	0	0	2023	mixed	ferroc	39998	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061546388	1	0	40.0	20.0	12.0	euro			1	9	11	70000	no		0	0	2020	mono	ferroc	70000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2061380082	3	0	88.0	60.0	14.0	design			1	7	9	120000	no	3.0	0	1	2021	mixed	ferroc	120000	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061833851	1	0	39.0	18.0	12.0	design		both		11	25	65000	no		1	0	2012	mono	ferroc	65000	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0
2060232380	2	0	80.0	40.0	20.0	design			1	14	25	85000	no		0	1	2017	mono	ferroc	85000	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0
2061737225	1	0	50.0	35.0	12.0	design				3	2	100000	no		0	0	2018	block		100000	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0
2061834086	2	0	65.0	40.0	12.0	euro		both		3	5	80000	no		1	0	1901	brick	mixed	80000	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0
2062083370	1	0	35.2		11.4	euro			1	5	18	65000			0	0	2023	mixed	ferroc	65000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061502411	0	1	25.0	25.0			нет			20	25	17000	yes		1	0	2023	mono	ferroc	35000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061463367	1	0	38.0			cosm	1	yard		1	6	55000			0	0	1798	brick	mixed	58000	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
2061476787	0	1	26.1	14.0	4.0	euro		yard	1	8	13	40000			0	0	2020	mixed	ferroc	40000	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0
2061897676	1	0	52.5	21.5	17.9	euro		street		3	13	70000	no		1	0	2022	mono	ferroc	70000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2059475661	2	0	58.0	31.5	13.6	euro			1	8	12	68000	no	2.75	0	0	2021	mono	ferroc	68000	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2060741997	1	0	40.0	16.0	12.0	euro		both	1	5	11	24750	no		1	0	2019	mixed	ferroc	55000	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0
2061058405	3	0	112.0	65.0	12.0	euro		yard		6	16	90000	no		1	1	2003	mono	ferroc	90000	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0
2062066169	2	0	69.0	54.0	15.0	design				3	8	165000	no		0	0	2022	mixed	ferroc	155000	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
2061449307	4	0	151.0	72.0	36.0	euro			1	14	23	350000			0	1	2008	mixed	ferroc	350000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
